Geography ID,Transportation Burden Pct Income,Energy Burden Pct Income
G01051030300,0.023161535,0.0512
G01089001801,0.024681135,0.0177
G01097006501,0.035709111,0.0333
G01097003705,0.021889968,0.0233999999999999
G01073010706,0.040683883,0.0298
G01089000403,0.039332714,0.0321
G01013953400,0.037470107,0.0687
G01073000700,0.051146038,0.0943
G01055001300,0.045671181,0.0622
G01093964500,0.05144784,0.0604
G01013953200,0.043204663,0.0588
G01009050101,0.044464807,0.0435
G01119011600,0.036407204,0.0624
G01047956900,0.031966336,0.0917999999999999
G01003011502,0.026957412,0.0348
G01073011802,0.032662525,0.0435
G01001020400,0.022314477,0.035
G01053969900,0.055735224,0.0424
G01073005302,0.023362901,0.0347
G01097003902,0.034842171,0.1081
G01015000600,0.03677551,0.0813
G01059973100,0.048082294,0.0536
G01015000200,0.025645434,0.0634
G01011952100,0.041374134,0.0969999999999999
G01045020802,0.025585247,0.0352
G01015001400,0.029458128,0.0549
G01001020200,0.024038712,0.0128
G01013952900,0.031930808,0.0556
G01015001300,0.037133082,0.061
G01013953300,0.051002622,0.0579
G01121010101,0.034482462,0.0289
G01049960300,0.0584326,0.0397
G01073012913,0.033299821,0.0283
G01047957000,0.03687809,0.0819
G01003011602,0.030976687,0.0352
G01101002000,0.028180711,0.0256
G01073004901,0.027854309,0.0289
G01023956900,0.037368782,0.0411
G01003011403,0.025928379,0.0227
G01073005910,0.038325851,0.0323
